State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Other,Notes
Hawaii,2020-03-04,Governor Ige declared a state of emergency for responding to the spread of coronavirus.  ,,,,,,,,,,Y,
Hawaii,2020-03-12," The Hawaii Department of Transportation installed 250 hand sanitizer dispensers and more than 12,000 boxes of anti-bacterial solution in high passenger volume areas in Hawaii airports.",,,,,,,,,,,
Hawaii,2020-03-15," The Governor issued a supplemental emergency proclamation which directs emergency managers to take certain actions to safeguard critical infrastructure, suspends statutes and administrative rules to help state and county agencies more effectively provide emergency relief, and directs the state emergency management agency to take steps to prevent hoarding of critical materials and supplies.  ",,,,,,,,,,,
Hawaii,2020-03-17," The Governor at a press conference issued the following new orders and guidelines: Directing all bars and clubs to close. Restaurants should go to take-out only, and tour companies should limit or shut down operations immediately. Asking tourists to stay away for at least 30 days. Bolstering screening of cruise ship passengers, with temperature checks and questions about symptoms and recent travel. Airports would also be bolstering their procedures. Stopping all non-essential state travel, including inter-island travel. Those who do have to travel will have to go into self-isolation for 14 days. Directing all movie theaters, visitor attractions and places of worship to close. Closing all state libraries, parks, events at the state capitol building, Aloha Stadium and Hawaii Convention Center.",,,,,,,,,,,
Hawaii,2020-03-19, The Governor supported the decision of the Hawaii Department of Education to continue school closures in the state and provide alternative meals plans for students.,,,,,,,,,,,
Hawaii,2020-03-20," The Governor announced the following measures to address the economic impacts of COVID-19: Hawaii small businesses may now file for low-interest working capital loans from the U.S. Small Business Administration (US SBA). The US SBA approved the Governor’s certification request for access to the Economic Injury Disaster Loan (EIDL) Assistance Program for Hawaii small businesses. Benefits will be paid to individuals who file their initial unemployment claims late. The state will interpret Hawai‘i’s unemployment laws to the broadest extent possible to cover those who are out of work because of COVID-19. Allocating additional staff to support the influx to facilitate claims filing, processing, and benefits. Making the adjustments necessary to loosen eligibility requirements for claimants and reduce or eliminate experience rate adjustments for employers because of employees who receive unemployment benefits because of COVID-19.",,,,,,,,,,,
Hawaii,2020-03-20," The Governor and the Department of Labor and Industrial Relations announced the launch of the Reducing Unemployment Disruption & Driving Economic Regeneration (RUDDER) program. RUDDER is an economic regeneration initiative that provides State Employment & Training Funds that serve as the foundational strategy for aligning federal workforce programs, such as the Disaster Recovery grants, in a unified effort to train and transfer labor into Hawaii’s businesses that can help reduce job losses and dampen the economic slide.  ",,,,,,,,,,,
Hawaii,2020-03-21," The Governor issued a second supplemental emergency declaration ordering all individuals arriving or returning to the State of Hawaii to a mandatory 14-day self-quarantine. The order states that any individual violating the quarantine may be fined up to 5,000 dollars or imprisoned up to one year, or both.  ",,,,,,,,,,,
Hawaii,2020-03-22," The Hawaii Department of Public Safety announced the following updates: Correctional facilities are implementing enhanced screening at entry points; All correctional facilities are expanding outside visitor suspensions to volunteers; Increased phone call duration, increased out of cell time, and increased access to stores/commissary for inmates; The Hawaii Paroling Authority is suspending all parole hearings for 2 weeks. ",,,,,,,,,,,
Hawaii,2020-03-23," The Governor signed a third supplementary proclamation ordering the entire state to stay at home and work from home starting at 12:01 a.m. Wednesday, Mar. 25 through Apr. 30. Essential workers are exempt. Non-compliance would be a misdemeanor punishable by a fine of up to $5,000, or up to one year in jail, or both.",,,,,,,,,,,
Hawaii,2020-03-24, The Hawaii State Department of Education announced school facilities will remain closed to students through April 30.,,,,,,,,,,,
Hawaii,2020-03-24," The Hawaii Department of Health waived routine TB clearance requirements for selected groups, the suspension will remain in effect through May 31, 2020. These groups include: Annual clearance for healthcare workers, Annual clearance for patients in long-term care facilities, Food handlers, Children entering childcare, preschool or school (K-12th grade), Post-secondary school students and employees",,,,,,,,,,,
Hawaii,2020-03-30, The Governor announced a 14-day quarantine for interisland travelers in April.,,,,,,,,,,,
Hawaii,2020-04-03," The Governor activated four units of the Hawaii National Guard to provide assistance to the Hawaii Emergency Management Operations Center, the State of Hawaii’s Joint Information Center, and support the receiving and distribution of medical supplies and PPE (Personal Protective Equipment).",,,,,,,,,,,
Hawaii,2020-04-08," The Governor appointed Alan M. Oshima to lead Hawaii’s efforts to develop and implement a plan for economic and community stabilization, recovery and resiliency.",,,,,,,,,,,
Hawaii,2020-04-15, The Governor has proposed 20% pay cuts for teachers and other public workers to help offset what is expected to be a reduction in the collection of state taxes.,,,,,,,,,,,
Hawaii,2020-04-17," The Governor signed a fifth emergency supplementary proclamation which includes the following items: Enhanced social distancing requirements, Eviction moratorium, The extension of the disaster emergency relief period to April 30, 2020",,,,,,,,,,,
