date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
2-Mar-20,"Governor Janet Mills convened an Coronavirus Response Team charged with coordinating the states response across departments, local agencies and health authorities to the potential spread of novel coronavirus.",,,,,,,,,,,Y
12-Mar-20,Governor Janet Mills recommended in a press conference that gatherings with more than 250 people be postponed.The Governor also announced that she is suspending all non-essential travel by state employees.,Y,,,,,,,,,,
15-Mar-20,Governor Janet Mills signed a proclamation of civil emergency.,,,,,,,Y,,,,Y
17-Mar-20,"The Governors emergency legislation were approved by the House and Senate. Key provisions include the following: Access to at least $11 million in state funding to respond to COVID-19. Establishing a consumer loan guarantee program through the Finance Authority of Maine, in partnership with financial institutions, to provide low- or no-interest loans for eligible people in Maine. Temporarily expanding eligibility for unemployment benefits for workers impacted by COVID-19. Increasing the Department of Educations ability to waive certain school-day requirements and to continue school lunch programs for all eligible children. AuthorizingThe Governor to adjust state, county and municipal government deadlines and to permit all public entities to meet by remote participation. Expanding the ability of Maine Emergency Medical Services Board and staff to take actions more promptly. AuthorizingThe Governor to prohibit utilities from terminating residential electric and water service. AuthorizingThe Governor to determine and direct the manner of the June 2020 primary, if necessary.",,,,,,,,,,,Y
18-Mar-20,"The Governor issued an executive order that closed restaurant dining rooms, bars, and limited social gatherings to no greater than 10 people.",Y,,,,,,,,,,
19-Mar-20,The Governor signed the Maine Health Care Coverage Act to improve private health insurance in the state.,,,,,,,,,,,Y
19-Mar-20,"The Finance Authority of Maine (FAME) is partnering with the U.S. Small Business Administration (SBA) and local Maine lenders to offer special, limited time loans and loan insurance to eligible Maine businesses affected by COVID-19, including: loans up to $50,000 offered at reduced interest rates; interest-only payments; up to 75% pro-rata loan insurance on loans up to $100,000; interim financing in conjunction with the SBA wherein FAME makes loan proceeds available while approved SBA borrowers await federal funding. To allow access to those funds immediately, FAME will provide an interim loan to be paid-off with the SBA loan funds.",,,,,,,,,,,Y
20-Mar-20,The Governor ordered open all inland waters for fishing and waived the requirement that anglers need a recreational fishing license to fish the inland waters of Maine. The order is effective immediately and runs until April 30th.,,,,,,,,,,,Y
21-Mar-20,"The Governor sent a letter to the president requesting that the Trump Administration consider direct financial assistance, subsidies, and operating loans or loan deferment, among other possible measures, to help the seafood industry.",,,,,,,,,,,Y
24-Mar-20,"The Governor urged large essential businesses to limit in-store customers, enhance curbside pick-up and delivery services, and implement physical distancing measures to protect customer and employee health",Y,,,,,,,,,,
