date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
5-Mar-20,"In coordination with the Nevada Department of Business and Industrys Division of Insurance, Governor Sisolak announcedthe adoption of an emergency regulation to ensure Nevadans covered by health insurance policies regulated by the DO Iare able to obtain medical services and prescriptions related to COVID-19 at their normal costs, despite disruptions caused by the spread of the virus. The emergency regulation prohibits a health insurer from imposing an out-of-pocket cost for a provider office, urgent care center, or emergency room visit when the purpose of the visit is testing for COVID-19. Additionally, the regulation prohibits insurers from charging Nevadans for the COVID-19 test itself or an immunization as one becomes available and further requires coverage for off-formulary prescription drugs if a formulary drug is not available for treatment. Lastly, the regulation requires health insurers to provide information on available benefits, options for medical advice and treatment through telehealth, and preventative measures related to COVID-19.",,,,,,Y,,,,,
12-Mar-20,Governor Sisolak declared a state of emergency.,,,,,,,Y,,,,
15-Mar-20,The Governor closed all public elementary and secondary education schools through April 6. ,Y,,,,Y,,,,,,
17-Mar-20,"The Governor announced risk mitigation measures happening across the state, such as requiring restaurants and bars to offer non-dine in options to customers. Additionally, he announced that the Department of Agriculture has set up more than 70 sites across the state to provide free meals to children impacted by school closures.",Y,,,,,,,,,,Y
18-Mar-20,"The Nevada Health Response Center released their Risk Mitigation Initiative. Additionally, the Department of Business and Industry posted guidance on construction, mining, and manufacturing industries.",,,,,,,,,,,Y
18-Mar-20,The Governor announced that the state is one of the first to receive statewide approval from the Small Business Administration for low-interest federal loans.,,,,,,,,,,,Y
18-Mar-20,The Governor waived the one-week waiting requirement for accessing unemployment insurance.,,,,,,,,,,,Y
19-Mar-20,"In response to the Governors emergency declaration on March 12, the states health insurance exchange announced a limited-time Exceptional Circumstances Special Enrollment Period for residents who missed the open enrollment period.",,,,,,Y,,,,,Y
23-Mar-20,The Governor announced that sixteen of Nevadas seventeen school districts and all of Nevadas charter schools that submitted plans to the Nevada Department of Education are approved to continue or start distance education.,Y,,,,Y,,,,,,
24-Mar-20,The Governor signed a directive limiting mass gathering to ten or less individuals (minus family members) in any indoor or outdoor public area.,Y,,,,,,,,,,
25-Mar-20,The Governor signed an emergency regulation which limits the use of two anti-malaria drugs to treat coronavirus patient.The Governor noted that this regulation does not apply to doctors who order the drugs for COVID treatment in an inpatient setting.,,,,,,Y,,,,,
30-Mar-20,"The Governor announced that, effective immediately, the Division of Emergency Management and Department of Health and Human Services will be temporarily aligned with the Office of the Military for the duration of the public health crisis to ensure that the entirety of Nevada's State Government is utilized effectively and efficiently in response to this unprecedented emergency situation.",,,,,,,,,,,Y
31-Mar-20,"The Governor submitted a formal request to the President for a Major Disaster Declaration, which includes requests for Public Assistance funding and the full suite of Individual Assistance programs including, such as Disaster Unemployment Assistance, Disaster Legal Services, Crisis Counseling and Training Programs, and Mass Care and Emergency Assistance.",,,,,,,,,,,Y
7-Apr-20,"The Centers for Medicare & Medicaid Services (CMS) approved Nevadas request for a Section 1135 Medicaid waiver.The approved waiver enables Nevada to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend state fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,Y,,,,,
10-Apr-20,"The Governor and Department of Employment, Training and Rehabilitation announced the selection of a vendor to provide at least 100 full-time operators to boost unemployment insurance call center capacity during a period of unprecedented demand.",,,,,,,,,,,Y
18-May-20,"The Governor announced the appointment of a COVID-19 Response Director to coordinate resources and enhance collaboration across multiple state, local and federal entities.",,,,,,,,,,,Y
26-May-20,"The Governor announced that Nevada is ready to move into Phase 2 of the states Nevada United: Roadmap to Recovery reopening plan on Friday, May 29.",,Y,,,,,,,,,
24-Jun-20,The Governor signed a directive requiring for residents and visitors to wear a face mask or covering when in public spaces.,Y,,,,,,,,,,
29-Jun-20, The Governor announced that Nevada will remain in Phase 2 of the Nevada United: Roadmap to Recovery plan.,Y,,,,,,,,,,
6-Jul-20,The Governor released the Nevada COVID-19 Fiscal Report and details about the Fiscal Year 2021 budget.,,,,,,,,,Y,,
10-Jul-20, The Governor announced that bars in certain Nevada counties must close as of July 10 to help stem the spread of COVID-19.,Y,,,,,,,,,,
19-Jul-20,The Governor announced $50 million in CARES Act funding will go to the Nevada Department of Education for a new education grant program that will help students most impacted by the loss of in-person instruction.,,,,,Y,,,,,,
