date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
2-Mar-20,Governor Cuomo announced the state will institute a new cleaning protocol at schools and in the public transportation system to help stop any potential spread of the virus.,,,,,,,,,,,Y
2-Mar-20,The Governor will also propose legislation to clarify authority for governor to take certain statewide actions and measures in response to the novel coronavirus outbreak as needed.,,,,,,,,,,,Y
2-Mar-20,"The public health laboratory housed within the State Department of Health (DOH) is partnering with hospitals to expand surge testing capacity to 1,000 tests per day statewide for the novel coronavirus. The Wadsworth Center will provide these hospitals with instructions on how to replicate the States test, as well as help them purchase some of the equipment necessary to develop and validate the test.",,,,Y,,Y,,,,,
2-Mar-20,"DOH is convening local health departments and hospitals statewide to review protocols, best practices and procedures to help ensure they are prepared to combat the spread of the novel coronavirus.",,,,,,,,,,,Y
2-Mar-20,"Under a directive by the Governor, the State Department of Financial Services will require health insurers to waive cost sharing associated with testing for coronavirus.",,,,,,Y,,,,,
3-Mar-20,Governor Cuomo signed into law a $40 million emergency management authorization for New York States novel coronavirus response.,,,,,,,,,,,Y
3-Mar-20,The Governor also announced he will amend his Paid Sick Leave budget proposal to specifically protect from termination people who are required to stay home from work because they are being isolated or quarantined as a result of the novel coronavirus.,,,,,,,,,,,Y
3-Mar-20,State university nstitutions will bring back students who are in study abroad programs in countries with high prevalence of novel coronavirus and review all study abroad programs ahead of potential expanded travel restrictions by the federal government.,,,,,,,,,,,Y
5-Mar-20,"The Governor has activated their statewide emergency operations center in Albany, along with two outposts in Westchester County.",,,,,,,,,,,Y
7-Mar-20,Governor Cuomo declared a disaster emergency in the state.,,,,,,,Y,,,,
10-Mar-20,Governor Cuomo deployed National Guard troops to a Health Department command post in New Rochelle to assist with the outbreak  an area with 108 confirmed cases at the time of mobilization.,,,,,,Y,,,,,Y
11-Mar-20,"Governor Cuomo announced thatNew York will contract with 28 private labs to increase COVID-19 testing capacity. Additionally, he announced that the state will provide two weeks paid leave for workers who are quarantined as well as $200,000 to local food banks in New Rochelle for families who rely on free school lunches.",,,,Y,,,,,,,Y
12-Mar-20,Governor Cuomo announced that gatherings larger than 500 people should be cancelled or postponed.,Y,,,,,,,,,,
